=== Bump-family DE Ablation ===
popsize=15 maxiter=20 seed=42
output=results_bump_opt_baseline

[175] AEP=5560.5 feas=True best=5566.1 (37s)
[176] AEP=5558.0 feas=True best=5566.1 (36s)
[177] AEP=5560.9 feas=True best=5566.1 (37s)
[178] AEP=5562.1 feas=True best=5566.1 (37s)
[179] AEP=5561.1 feas=True best=5566.1 (36s)
[180] AEP=5563.3 feas=True best=5566.1 (37s)
[181] AEP=5549.1 feas=True best=5566.1 (37s)
differential_evolution step 11: f(x)= -5566.05
[182] AEP=5522.8 feas=True best=5566.1 (38s)
[183] AEP=5564.6 feas=True best=5566.1 (36s)
[184] AEP=5545.9 feas=True best=5566.1 (37s)
[185] AEP=5560.3 feas=False best=5566.1 (37s)
[186] AEP=5556.1 feas=True best=5566.1 (37s)
[187] AEP=5562.1 feas=True best=5566.1 (36s)
[188] AEP=5555.1 feas=True best=5566.1 (37s)
[189] AEP=5556.4 feas=True best=5566.1 (36s)
[190] AEP=5531.4 feas=False best=5566.1 (37s)
[191] AEP=5560.5 feas=True best=5566.1 (36s)
[192] AEP=5563.9 feas=True best=5566.1 (36s)
[193] AEP=5558.4 feas=True best=5566.1 (36s)
[194] AEP=5559.9 feas=True best=5566.1 (36s)
[195] AEP=5561.6 feas=True best=5566.1 (36s)
[196] AEP=5546.6 feas=True best=5566.1 (37s)
differential_evolution step 12: f(x)= -5566.05
[197] AEP=5556.1 feas=True best=5566.1 (36s)
[198] AEP=5559.0 feas=True best=5566.1 (37s)
[199] AEP=5554.1 feas=True best=5566.1 (37s)
[200] AEP=5559.4 feas=False best=5566.1 (37s)
[201] AEP=5558.2 feas=True best=5566.1 (37s)
[202] AEP=5563.2 feas=True best=5566.1 (36s)
[203] AEP=5558.4 feas=True best=5566.1 (37s)
[204] AEP=5560.0 feas=False best=5566.1 (37s)
[205] AEP=5561.7 feas=False best=5566.1 (36s)
[206] AEP=5559.5 feas=True best=5566.1 (37s)
[207] AEP=5555.1 feas=True best=5566.1 (37s)
[208] AEP=5546.3 feas=False best=5566.1 (37s)
[209] AEP=5561.1 feas=True best=5566.1 (37s)
[210] AEP=5560.7 feas=True best=5566.1 (37s)
[211] AEP=5565.1 feas=True best=5566.1 (36s)
differential_evolution step 13: f(x)= -5566.05
[212] AEP=5541.8 feas=True best=5566.1 (37s)
[213] AEP=5562.8 feas=True best=5566.1 (37s)
[214] AEP=5559.3 feas=True best=5566.1 (37s)
[215] AEP=5554.1 feas=True best=5566.1 (37s)
[216] AEP=5544.1 feas=True best=5566.1 (37s)
[217] AEP=5552.5 feas=False best=5566.1 (37s)
[218] AEP=5563.4 feas=True best=5566.1 (36s)
[219] AEP=5561.4 feas=False best=5566.1 (37s)
[220] AEP=5562.5 feas=True best=5566.1 (36s)
[221] AEP=5559.1 feas=False best=5566.1 (37s)
[222] AEP=5564.6 feas=True best=5566.1 (36s)
[223] AEP=5561.5 feas=False best=5566.1 (37s)
[224] AEP=5532.7 feas=True best=5566.1 (37s)
[225] AEP=5561.2 feas=True best=5566.1 (37s)
[226] AEP=5557.8 feas=True best=5566.1 (37s)
differential_evolution step 14: f(x)= -5566.05
[227] AEP=5561.4 feas=True best=5566.1 (37s)
[228] AEP=5560.2 feas=True best=5566.1 (36s)
[229] AEP=5557.3 feas=True best=5566.1 (36s)
[230] AEP=5564.7 feas=False best=5566.1 (36s)
[231] AEP=5561.9 feas=True best=5566.1 (37s)
[232] AEP=5561.7 feas=True best=5566.1 (36s)
[233] AEP=5558.7 feas=True best=5566.1 (36s)
[234] AEP=5560.6 feas=True best=5566.1 (37s)
[235] AEP=5560.8 feas=True best=5566.1 (37s)
[236] AEP=5558.6 feas=True best=5566.1 (37s)
[237] AEP=5561.5 feas=True best=5566.1 (36s)
[238] AEP=5558.8 feas=True best=5566.1 (37s)
[239] AEP=5560.8 feas=True best=5566.1 (37s)
[240] AEP=5561.3 feas=True best=5566.1 (36s)
[241] AEP=5559.0 feas=True best=5566.1 (36s)
differential_evolution step 15: f(x)= -5566.05
[242] AEP=5557.8 feas=True best=5566.1 (36s)
[243] AEP=5558.1 feas=True best=5566.1 (37s)
[244] AEP=5562.6 feas=True best=5566.1 (37s)
[245] AEP=5562.2 feas=True best=5566.1 (36s)
[246] AEP=5533.0 feas=False best=5566.1 (37s)
